what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1425478445130
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1425478445286
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1425478445349
started,bundle,org.eclipse.jdt.core,3.6.2.xx-20120306-1100-e36-RELEASE,"org.eclipse.jdt.core",1425478445380
started,bundle,org.eclipse.jdt.groovy.core,2.7.0.xx-20120306-1100-e36-RELEASE,"org.eclipse.jdt.groovy.core",1425478445442
os,sysinfo,,,"win32",1425478445458
arch,sysinfo,,,"x86",1425478445458
ws,sysinfo,,,"win32",1425478445458
locale,sysinfo,,,"en_US",1425478445458
processors,sysinfo,,,"4",1425478445458
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1425478445458
java.runtime.version,sysinfo,,,"1.6.0_45-b06",1425478445458
java.specification.name,sysinfo,,,"Java Platform API Specification",1425478445458
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1425478445458
java.specification.version,sysinfo,,,"1.6",1425478445458
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1425478445458
java.version,sysinfo,,,"1.6.0_45",1425478445458
java.vm.info,sysinfo,,,"mixed mode, sharing",1425478445458
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1425478445458
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1425478445458
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1425478445458
java.vm.specification.version,sysinfo,,,"1.0",1425478445458
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1425478445458
java.vm.version,sysinfo,,,"20.45-b01",1425478445458
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1425478446394
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1425478447657
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1425478448734
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1425478449763
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1425478450247
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1425478450434
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1425478450497
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1425478451604
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1425478451604
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1425478451620
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1425478453289
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1425478453336
started,bundle,com.android.ide.eclipse.ddms,16.0.0.v201112072138-234950,"com.android.ide.eclipse.ddms",1425478456066
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1425478458640
started,bundle,com.android.ide.eclipse.adt,16.0.0.v201112072138-234950,"com.android.ide.eclipse.adt",1425478458702
error,log,,,"DDMS files not found: D:\\Eclipse Helios_3.6_win_O\\eclipse-java-helios-SR2-win32\\eclipse\\platform-tools\\adb.exe D:\\Eclipse Helios_3.6_win_O\\eclipse-java-helios-SR2-win32\\eclipse\\tools\\hprof-conv.exe D:\\Eclipse Helios_3.6_win_O\\eclipse-java-helios-SR2-win32\\eclipse\\tools\\traceview.bat ",1425478459435
started,bundle,org.codehaus.groovy.eclipse.dsl,2.7.0.xx-20120306-1100-e36-RELEASE,"org.codehaus.groovy.eclipse.dsl",1425478459482
started,bundle,com.android.ide.eclipse.traceview,16.0.0.v201112072138-234950,"com.android.ide.eclipse.traceview",1425478459529
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1425478459732
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1425478459732
started,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1425478506516
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425478509714
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1425478525330
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1425478525361
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1425478526297
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1425478526375
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1425478526469
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1425478526500
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1425478526500
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1425478704137
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1425478704871
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1425478704933
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425478705432
executed,command,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1425478705510
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425478711716
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425478713060
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1425478730995
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1425478730995
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425478735153
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1425478862807
started,bundle,org.eclipse.equinox.p2.director,2.0.3.R36x_v20101117-1018,"org.eclipse.equinox.p2.director",1425478933629
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1425478933644
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1425479106122
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425528374580
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425528376606
executed,command,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1425528376621
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425528376621
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425528416972
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425528417003
